,orig,jitter,scaling,window_slice,window_warp,time_warp,rotation,magnitude_warp,spawner,wdba
Wine,0.744444443,0.6333333333333334,0.762962962962963,0.5222222222222223,0.6037037037037036,0.5,0.8481481481481481,0.6925925925925925,0.5,0.7444444444444445
BeetleFly,0.815,0.8300000000000001,0.79,0.92,0.79,0.63,0.89,0.8400000000000001,0.68,0.7700000000000001
ArrowHead,0.837714285,0.8331428571428571,0.8297142857142857,0.768,0.8491428571428571,0.5062857142857142,0.808,0.8331428571428571,0.5108571428571429,0.6925714285714285
OliveOil,0.786666666,0.34,0.7533333333333334,0.4,0.4666666666666666,0.1733333333333333,0.5733333333333333,0.4866666666666666,0.32,0.74
Beef,0.806666666,0.6333333333333333,0.8,0.48,0.7,0.38,0.7666666666666668,0.6333333333333333,0.5866666666666667,0.3066666666666666
Lightning7,0.793150687,0.8082191780821917,0.810958904109589,0.7260273972602739,0.7753424657534247,0.706849315068493,0.7753424657534246,0.8164383561643834,0.6136986301369862,0.7863013698630137
Lightning2,0.8065573779999999,0.8032786885245902,0.8098360655737704,0.8098360655737704,0.8524590163934427,0.7770491803278687,0.8131147540983606,0.8032786885245902,0.6786885245901638,0.7737704918032786
DistalPhalanxOutlineAgeGroup,0.738129496,0.7712230215827338,0.7395683453237408,0.7136690647482015,0.7482014388489209,0.6489208633093525,0.6877697841726619,0.7035971223021582,0.7366906474820143,0.7482014388489209
DistalPhalanxTW,0.664028775,0.6618705035971223,0.6906474820143884,0.6935251798561151,0.6618705035971223,0.5741007194244604,0.6633093525179856,0.6805755395683454,0.6115107913669064,0.6071942446043165
Herring,0.6078125,0.603125,0.6625,0.584375,0.659375,0.6,0.575,0.628125,0.44375,0.578125
ProximalPhalanxTW,0.773170733,0.7707317073170732,0.7580487804878049,0.6429268292682926,0.688780487804878,0.6351219512195122,0.7795121951219512,0.7970731707317074,0.7482926829268293,0.6848780487804877
MiddlePhalanxOutlineCorrect,0.814089348,0.7938144329896908,0.8075601374570447,0.6549828178694158,0.763573883161512,0.5381443298969071,0.7869415807560137,0.8013745704467354,0.709278350515464,0.7553264604810996
ProximalPhalanxOutlineCorrect,0.90790378,0.8742268041237115,0.9120274914089348,0.7752577319587629,0.8652920962199312,0.6735395189003437,0.9106529209621992,0.89553264604811,0.7532646048109966,0.8749140893470791
ProximalPhalanxOutlineAgeGroup,0.843902441,0.8302439024390245,0.8400000000000001,0.6009756097560977,0.8429268292682928,0.8390243902439025,0.8331707317073171,0.8282926829268293,0.8439024390243903,0.862439024390244
DistalPhalanxOutlineCorrect,0.7659420299999999,0.7420289855072464,0.7608695652173914,0.6630434782608695,0.7623188405797101,0.7391304347826086,0.7753623188405797,0.7594202898550725,0.6934782608695651,0.7623188405797101
Ham,0.703809523,0.6876190476190476,0.6761904761904762,0.7238095238095238,0.7714285714285714,0.5257142857142856,0.699047619047619,0.6571428571428571,0.7733333333333333,0.678095238095238
Chinatown,0.976811594,0.9778425655976676,0.9778425655976676,0.9661807580174928,0.9836734693877552,0.98134110787172,0.9795918367346936,0.9842565597667638,0.9731778425655976,0.9650145772594751
SmoothSubspace,0.9886666669999999,0.9866666666666668,0.9693333333333334,0.9853333333333334,0.9666666666666666,0.868,0.964,0.9693333333333334,0.976,0.9586666666666666
DodgerLoopGame,0.887681159,0.8971014492753623,0.8971014492753623,0.7753623188405797,0.8710144927536231,0.8057971014492754,0.7623188405797101,0.9,0.8101449275362318,0.7594202898550725
DodgerLoopWeekend,0.9782608700000001,0.9739130434782608,0.9739130434782608,0.9710144927536232,0.9652173913043478,0.972463768115942,0.972463768115942,0.972463768115942,0.9753623188405796,0.9434782608695652
DodgerLoopDay,0.53875,0.5525,0.5575,0.3625,0.5,0.35,0.5149999999999999,0.485,0.4924999999999999,0.3175
PickupGestureWiimoteZ,0.9179999999999999,0.892,0.8800000000000001,0.728,0.8119999999999999,0.74,0.728,0.86,0.7799999999999999,0.612
ShakeGestureWiimoteZ,0.9620000000000001,0.964,0.916,0.9200000000000002,0.952,0.8960000000000001,0.86,0.932,0.884,0.844
ECG200,0.9079999999999999,0.908,0.906,0.898,0.8640000000000001,0.808,0.842,0.8619999999999999,0.764,0.788
BirdChicken,0.885,0.94,0.8400000000000001,0.8400000000000001,0.89,0.65,0.8099999999999999,0.97,0.85,0.8099999999999999
ItalyPowerDemand,0.947230322,0.950631681243926,0.9477162293488824,0.9587949465500486,0.9459669582118562,0.8357628765792031,0.9224489795918368,0.9411078717201166,0.8293488824101068,0.9137026239067054
MelbournePedestrian,0.898612245,0.875030750307503,0.8805248052480525,0.8463304633046331,0.8675686756867569,0.8513325133251332,0.9227552275522756,0.9052890528905287,0.9025830258302582,0.8926609266092662
FaceFour,0.9511363629999999,0.959090909090909,0.9568181818181818,0.9545454545454548,0.931818181818182,0.65,0.8704545454545455,0.95,0.809090909090909,0.8545454545454545
SonyAIBORobotSurface1,0.9795341089999999,0.9797004991680532,0.9860232945091514,0.9580698835274544,0.962396006655574,0.7773710482529118,0.9430948419301164,0.9813643926788684,0.9001663893510814,0.9530782029950084
MiddlePhalanxOutlineAgeGroup,0.536363637,0.6077922077922078,0.5571428571428572,0.3415584415584415,0.5376623376623376,0.4233766233766234,0.4766233766233766,0.5298701298701298,0.5857142857142856,0.6012987012987013
MiddlePhalanxTW,0.519480519,0.4675324675324675,0.5246753246753247,0.4779220779220779,0.5155844155844156,0.5662337662337662,0.5350649350649351,0.5051948051948052,0.4987012987012987,0.4636363636363635
Meat,0.946666668,0.6599999999999999,0.9533333333333334,0.5733333333333334,0.75,0.5599999999999999,0.8866666666666667,0.8966666666666667,0.6966666666666667,0.9166666666666666
ToeSegmentation2,0.946153846,0.9538461538461538,0.9553846153846154,0.9415384615384615,0.9415384615384615,0.8923076923076924,0.9046153846153846,0.933846153846154,0.74,0.9646153846153844
GesturePebbleZ2,0.899367089,0.8924050632911392,0.8810126582278481,0.8835443037974684,0.8632911392405063,0.7797468354430379,0.889873417721519,0.8354430379746836,0.8063291139240507,0.8379746835443038
GesturePebbleZ1,0.9203488369999999,0.9313953488372092,0.922093023255814,0.9069767441860466,0.930232558139535,0.9011627906976744,0.933720930232558,0.922093023255814,0.8523255813953489,0.9011627906976744
GestureMidAirD2,0.632307693,0.6261538461538462,0.6569230769230769,0.5184615384615384,0.5984615384615385,0.4538461538461538,0.5369230769230768,0.5615384615384615,0.4446153846153846,0.4292307692307693
SonyAIBORobotSurface2,0.953830011,0.9615949632738718,0.9527806925498428,0.8600209863588667,0.90598111227702,0.7634837355718782,0.9527806925498428,0.957607555089192,0.914585519412382,0.8818467995802728
GestureMidAirD1,0.73,0.7338461538461539,0.7430769230769231,0.6676923076923077,0.7061538461538461,0.5446153846153846,0.5184615384615384,0.7230769230769231,0.5969230769230769,0.5246153846153845
GestureMidAirD3,0.41692307700000003,0.4261538461538461,0.4261538461538461,0.38,0.4261538461538461,0.2738461538461538,0.3261538461538461,0.4215384615384615,0.2923076923076922,0.22
Car,0.93333333,0.9366666666666668,0.92,0.8933333333333333,0.92,0.6133333333333334,0.8233333333333333,0.9133333333333332,0.6699999999999999,0.7699999999999999
ToeSegmentation1,0.953947369,0.9508771929824562,0.9535087719298244,0.9192982456140352,0.962280701754386,0.8736842105263157,0.925438596491228,0.9473684210526316,0.9087719298245616,0.8710526315789474
ShapeletSim,0.7994444439999999,0.8133333333333332,0.8666666666666666,0.7266666666666667,0.5466666666666666,0.4955555555555556,0.8222222222222223,0.918888888888889,0.8711111111111112,0.7511111111111111
DiatomSizeReduction,0.977124184,0.9830065359477124,0.9594771241830063,0.8627450980392156,0.8503267973856209,0.472549019607843,0.9418300653594772,0.9019607843137256,0.7392156862745098,0.7803921568627451
MoteStrain,0.926357828,0.9258785942492012,0.926996805111821,0.8972843450479233,0.9146964856230032,0.8362619808306709,0.3043130990415335,0.923961661341853,0.7675718849840255,0.8793929712460065
HouseTwenty,0.9487394960000001,0.9478991596638656,0.9663865546218486,0.9478991596638656,0.9630252100840336,0.961344537815126,0.9731092436974792,0.9563025210084032,0.8957983193277311,0.9109243697478993
InsectEPGSmallTrain,0.444176707,0.223293172690763,0.2843373493975903,0.2128514056224899,0.2248995983935743,0.1076305220883534,0.5076305220883535,0.2859437751004016,0.278714859437751,0.0867469879518072
