,orig,jitter_aug,scaling_aug,window_slice_aug,window_warp_aug,time_warp_aug,rotation_aug,magnitude_warp_aug,spawner_aug,wdba_aug
Wine,0.744444443,0.7333333333333334,0.837037037037037,0.7592592592592593,0.6925925925925925,0.7074074074074075,0.7407407407407408,0.7037037037037038,0.725925925925926,0.6481481481481481
BeetleFly,0.815,0.85,0.8099999999999999,0.8300000000000001,0.8299999999999998,0.82,0.8400000000000001,0.82,0.85,0.85
ArrowHead,0.837714285,0.8217142857142857,0.8331428571428571,0.8457142857142858,0.8537142857142858,0.8411428571428571,0.8228571428571427,0.830857142857143,0.8434285714285714,0.8308571428571427
OliveOil,0.786666666,0.6933333333333334,0.78,0.7066666666666668,0.8133333333333332,0.6066666666666667,0.4,0.7466666666666667,0.6,0.8600000000000001
Beef,0.806666666,0.7866666666666667,0.7933333333333333,0.8,0.78,0.8266666666666665,0.7866666666666666,0.8,0.8,0.7866666666666667
Lightning7,0.793150687,0.8082191780821917,0.8164383561643834,0.8027397260273972,0.7863013698630137,0.8191780821917808,0.7972602739726027,0.8191780821917808,0.7643835616438356,0.8082191780821917
Lightning2,0.8065573779999999,0.8196721311475411,0.8131147540983606,0.8491803278688523,0.8491803278688523,0.7868852459016393,0.8098360655737705,0.7836065573770492,0.8262295081967214,0.8295081967213115
DistalPhalanxOutlineAgeGroup,0.738129496,0.7323741007194244,0.7323741007194243,0.7251798561151078,0.7381294964028777,0.739568345323741,0.7438848920863309,0.7496402877697842,0.7280575539568346,0.7223021582733813
DistalPhalanxTW,0.664028775,0.6719424460431654,0.6762589928057554,0.6589928057553955,0.6748201438848921,0.6719424460431654,0.6589928057553956,0.6877697841726619,0.6906474820143886,0.6834532374100719
Herring,0.6078125,0.55625,0.640625,0.621875,0.603125,0.565625,0.615625,0.6,0.584375,0.603125
ProximalPhalanxTW,0.773170733,0.7785365853658537,0.7746341463414634,0.7687804878048781,0.7687804878048781,0.784390243902439,0.7765853658536586,0.7678048780487805,0.7775609756097561,0.7814634146341464
MiddlePhalanxOutlineCorrect,0.814089348,0.8151202749140893,0.8185567010309278,0.8075601374570447,0.815807560137457,0.8103092783505155,0.8075601374570447,0.8061855670103093,0.822680412371134,0.813745704467354
ProximalPhalanxOutlineCorrect,0.90790378,0.9216494845360824,0.9154639175257732,0.911340206185567,0.918213058419244,0.9154639175257732,0.9120274914089348,0.9037800687285223,0.9120274914089348,0.9065292096219932
ProximalPhalanxOutlineAgeGroup,0.843902441,0.8546341463414635,0.8390243902439025,0.7063414634146342,0.7560975609756098,0.6809756097560976,0.8409756097560976,0.862439024390244,0.8565853658536586,0.8712195121951221
DistalPhalanxOutlineCorrect,0.7659420299999999,0.7659420289855072,0.7615942028985507,0.691304347826087,0.7724637681159421,0.7666666666666667,0.7572463768115941,0.7550724637681159,0.6840579710144927,0.7768115942028986
Ham,0.703809523,0.6876190476190476,0.6971428571428573,0.7428571428571429,0.7257142857142858,0.72,0.6838095238095239,0.7085714285714286,0.7695238095238095,0.6704761904761904
Chinatown,0.976811594,0.9801749271137028,0.9760932944606416,0.9708454810495628,0.9790087463556852,0.9685131195335276,0.8997084548104957,0.9574344023323615,0.9708454810495628,0.960932944606414
SmoothSubspace,0.9886666669999999,0.996,0.9786666666666668,0.9853333333333334,0.936,0.8773333333333333,0.9493333333333333,0.9666666666666668,0.932,0.944
DodgerLoopGame,0.887681159,0.907246376811594,0.8913043478260869,0.8608695652173914,0.863768115942029,0.791304347826087,0.8043478260869564,0.8695652173913043,0.8579710144927537,0.6260869565217391
DodgerLoopWeekend,0.9782608700000001,0.9797101449275364,0.972463768115942,0.9710144927536232,0.9739130434782608,0.8855072463768116,0.8623188405797102,0.9768115942028986,0.972463768115942,0.8869565217391303
DodgerLoopDay,0.53875,0.5875,0.555,0.425,0.4824999999999999,0.3525,0.475,0.5275000000000001,0.54,0.3225
PickupGestureWiimoteZ,0.9179999999999999,0.8720000000000001,0.9,0.78,0.808,0.596,0.764,0.876,0.6759999999999999,0.62
ShakeGestureWiimoteZ,0.9620000000000001,0.96,0.916,0.884,0.944,0.8119999999999999,0.8400000000000001,0.928,0.884,0.8560000000000001
ECG200,0.9079999999999999,0.908,0.904,0.8960000000000001,0.8800000000000001,0.8019999999999999,0.8560000000000001,0.874,0.82,0.7700000000000001
BirdChicken,0.885,0.8400000000000001,0.9,0.79,0.8400000000000001,0.65,0.7200000000000001,0.8800000000000001,0.74,0.8300000000000001
ItalyPowerDemand,0.947230322,0.9473275024295432,0.9504373177842568,0.9500485908649174,0.9356656948493682,0.8155490767735666,0.914480077745384,0.9519922254616132,0.829348882410107,0.875801749271137
MelbournePedestrian,0.898612245,0.8472324723247233,0.8521525215252153,0.825748257482575,0.8961049610496106,0.7539155391553916,0.9223452234522344,0.9199671996719968,0.8797867978679786,0.8549405494054941
FaceFour,0.9511363629999999,0.9454545454545455,0.9477272727272728,0.9636363636363636,0.95,0.6500000000000001,0.8772727272727273,0.9454545454545455,0.8863636363636364,0.859090909090909
