,acc1,acc2,acc3,acc4,acc5,mean_acc
Wine_jitter_aug,0.8148148148148148,0.7592592592592593,0.7407407407407407,0.7962962962962963,0.5555555555555556,0.7333333333333334
Wine_scaling_aug,0.8518518518518519,0.8703703703703703,0.7777777777777778,0.7962962962962963,0.8888888888888888,0.837037037037037
Wine_window_slice_aug,0.6666666666666666,0.6666666666666666,0.8148148148148148,0.8148148148148148,0.8333333333333334,0.7592592592592593
Wine_window_warp_aug,0.5555555555555556,0.7962962962962963,0.5925925925925926,0.7777777777777778,0.7407407407407407,0.6925925925925925
Wine_time_warp_aug,0.7962962962962963,0.6111111111111112,0.5,0.8703703703703703,0.7592592592592593,0.7074074074074075
Wine_rotation_aug,0.8148148148148148,0.6851851851851852,0.8888888888888888,0.5555555555555556,0.7592592592592593,0.7407407407407408
Wine_magnitude_warp_aug,0.5555555555555556,0.7962962962962963,0.7592592592592593,0.6481481481481481,0.7592592592592593,0.7037037037037038
Wine_spawner_aug,0.8148148148148148,0.6111111111111112,0.7222222222222222,0.7777777777777778,0.7037037037037037,0.725925925925926
Wine_wdba_aug,0.5555555555555556,0.8148148148148148,0.5555555555555556,0.5925925925925926,0.7222222222222222,0.6481481481481481
BeetleFly_jitter_aug,0.85,0.85,0.85,0.85,0.85,0.85
BeetleFly_scaling_aug,0.85,0.8,0.8,0.8,0.8,0.8099999999999999
BeetleFly_window_slice_aug,0.8,0.85,0.85,0.85,0.8,0.8300000000000001
BeetleFly_window_warp_aug,0.9,0.8,0.8,0.8,0.85,0.8299999999999998
BeetleFly_time_warp_aug,0.8,0.85,0.85,0.8,0.8,0.82
BeetleFly_rotation_aug,0.85,0.85,0.8,0.85,0.85,0.8400000000000001
BeetleFly_magnitude_warp_aug,0.85,0.8,0.85,0.85,0.75,0.82
BeetleFly_spawner_aug,0.85,0.85,0.85,0.85,0.85,0.85
BeetleFly_wdba_aug,0.85,0.85,0.85,0.85,0.85,0.85
ArrowHead_jitter_aug,0.8228571428571428,0.8114285714285714,0.8342857142857143,0.8114285714285714,0.8285714285714286,0.8217142857142857
ArrowHead_scaling_aug,0.8457142857142858,0.8285714285714286,0.8285714285714286,0.8342857142857143,0.8285714285714286,0.8331428571428571
ArrowHead_window_slice_aug,0.8514285714285714,0.8457142857142858,0.84,0.8457142857142858,0.8457142857142858,0.8457142857142858
ArrowHead_window_warp_aug,0.8457142857142858,0.8742857142857143,0.8514285714285714,0.8342857142857143,0.8628571428571429,0.8537142857142858
ArrowHead_time_warp_aug,0.8685714285714285,0.8285714285714286,0.8514285714285714,0.8114285714285714,0.8457142857142858,0.8411428571428571
ArrowHead_rotation_aug,0.8114285714285714,0.84,0.8228571428571428,0.8171428571428572,0.8228571428571428,0.8228571428571427
ArrowHead_magnitude_warp_aug,0.84,0.8457142857142858,0.8457142857142858,0.8285714285714286,0.7942857142857143,0.830857142857143
ArrowHead_spawner_aug,0.84,0.8457142857142858,0.8571428571428571,0.8228571428571428,0.8514285714285714,0.8434285714285714
ArrowHead_wdba_aug,0.8457142857142858,0.84,0.8171428571428572,0.8171428571428572,0.8342857142857143,0.8308571428571427
OliveOil_jitter_aug,0.6,0.3333333333333333,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.6933333333333334
OliveOil_scaling_aug,0.8333333333333334,0.8333333333333334,0.7,0.8,0.7333333333333333,0.78
OliveOil_window_slice_aug,0.4666666666666667,0.6,0.8,0.8,0.8666666666666667,0.7066666666666668
OliveOil_window_warp_aug,0.8333333333333334,0.7,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8133333333333332
OliveOil_time_warp_aug,0.5666666666666667,0.6,0.5,0.5666666666666667,0.8,0.6066666666666667
OliveOil_rotation_aug,0.4,0.4,0.4,0.4,0.4,0.4
OliveOil_magnitude_warp_aug,0.6333333333333333,0.8,0.8666666666666667,0.6333333333333333,0.8,0.7466666666666667
OliveOil_spawner_aug,0.5666666666666667,0.5666666666666667,0.3333333333333333,0.8333333333333334,0.7,0.6
OliveOil_wdba_aug,0.8666666666666667,0.8666666666666667,0.9,0.8,0.8666666666666667,0.8600000000000001
Beef_jitter_aug,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7866666666666667
Beef_scaling_aug,0.8333333333333334,0.7,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.7933333333333333
Beef_window_slice_aug,0.7666666666666667,0.8,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.8
Beef_window_warp_aug,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.8,0.8333333333333334,0.78
Beef_time_warp_aug,0.7666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8333333333333334,0.8266666666666665
Beef_rotation_aug,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8666666666666667,0.7666666666666667,0.7866666666666666
Beef_magnitude_warp_aug,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.7666666666666667,0.8
Beef_spawner_aug,0.7666666666666667,0.7666666666666667,0.8,0.8666666666666667,0.8,0.8
Beef_wdba_aug,0.7,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.8,0.7866666666666667
Lightning7_jitter_aug,0.8082191780821918,0.8082191780821918,0.821917808219178,0.7945205479452054,0.8082191780821918,0.8082191780821917
Lightning7_scaling_aug,0.7945205479452054,0.8082191780821918,0.8356164383561644,0.821917808219178,0.821917808219178,0.8164383561643834
Lightning7_window_slice_aug,0.8493150684931506,0.7671232876712328,0.7945205479452054,0.8082191780821918,0.7945205479452054,0.8027397260273972
Lightning7_window_warp_aug,0.821917808219178,0.7808219178082192,0.7397260273972602,0.7945205479452054,0.7945205479452054,0.7863013698630137
Lightning7_time_warp_aug,0.8356164383561644,0.821917808219178,0.821917808219178,0.7945205479452054,0.821917808219178,0.8191780821917808
Lightning7_rotation_aug,0.7671232876712328,0.8082191780821918,0.8356164383561644,0.7808219178082192,0.7945205479452054,0.7972602739726027
Lightning7_magnitude_warp_aug,0.8082191780821918,0.821917808219178,0.8082191780821918,0.8082191780821918,0.8493150684931506,0.8191780821917808
Lightning7_spawner_aug,0.7945205479452054,0.7808219178082192,0.7397260273972602,0.7671232876712328,0.7397260273972602,0.7643835616438356
Lightning7_wdba_aug,0.8082191780821918,0.7945205479452054,0.8082191780821918,0.821917808219178,0.8082191780821918,0.8082191780821917
Lightning2_jitter_aug,0.8032786885245902,0.819672131147541,0.8032786885245902,0.8524590163934426,0.819672131147541,0.8196721311475411
Lightning2_scaling_aug,0.8360655737704918,0.8032786885245902,0.8032786885245902,0.7868852459016393,0.8360655737704918,0.8131147540983606
Lightning2_window_slice_aug,0.8688524590163934,0.8688524590163934,0.8524590163934426,0.7868852459016393,0.8688524590163934,0.8491803278688523
Lightning2_window_warp_aug,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8852459016393442,0.8524590163934426,0.8491803278688523
Lightning2_time_warp_aug,0.7540983606557377,0.7704918032786885,0.7868852459016393,0.7704918032786885,0.8524590163934426,0.7868852459016393
Lightning2_rotation_aug,0.8360655737704918,0.8032786885245902,0.819672131147541,0.8032786885245902,0.7868852459016393,0.8098360655737705
Lightning2_magnitude_warp_aug,0.7704918032786885,0.7868852459016393,0.8032786885245902,0.7540983606557377,0.8032786885245902,0.7836065573770492
Lightning2_spawner_aug,0.8032786885245902,0.8032786885245902,0.8360655737704918,0.8688524590163934,0.819672131147541,0.8262295081967214
Lightning2_wdba_aug,0.8032786885245902,0.8524590163934426,0.8032786885245902,0.8688524590163934,0.819672131147541,0.8295081967213115
DistalPhalanxOutlineAgeGroup_jitter_aug,0.7410071942446043,0.7338129496402878,0.7410071942446043,0.7338129496402878,0.7122302158273381,0.7323741007194244
DistalPhalanxOutlineAgeGroup_scaling_aug,0.7266187050359713,0.7194244604316546,0.7482014388489209,0.7553956834532374,0.7122302158273381,0.7323741007194243
DistalPhalanxOutlineAgeGroup_window_slice_aug,0.7194244604316546,0.7338129496402878,0.7266187050359713,0.7338129496402878,0.7122302158273381,0.7251798561151078
DistalPhalanxOutlineAgeGroup_window_warp_aug,0.7553956834532374,0.7122302158273381,0.7482014388489209,0.7482014388489209,0.7266187050359713,0.7381294964028777
DistalPhalanxOutlineAgeGroup_time_warp_aug,0.7553956834532374,0.6906474820143885,0.7697841726618705,0.7338129496402878,0.7482014388489209,0.739568345323741
DistalPhalanxOutlineAgeGroup_rotation_aug,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7438848920863309
DistalPhalanxOutlineAgeGroup_magnitude_warp_aug,0.7769784172661871,0.7482014388489209,0.7194244604316546,0.762589928057554,0.7410071942446043,0.7496402877697842
DistalPhalanxOutlineAgeGroup_spawner_aug,0.7338129496402878,0.7482014388489209,0.7338129496402878,0.7050359712230215,0.7194244604316546,0.7280575539568346
DistalPhalanxOutlineAgeGroup_wdba_aug,0.7122302158273381,0.7338129496402878,0.697841726618705,0.7338129496402878,0.7338129496402878,0.7223021582733813
DistalPhalanxTW_jitter_aug,0.7194244604316546,0.6402877697841727,0.6402877697841727,0.6474820143884892,0.7122302158273381,0.6719424460431654
DistalPhalanxTW_scaling_aug,0.6690647482014388,0.6906474820143885,0.697841726618705,0.6690647482014388,0.6546762589928058,0.6762589928057554
DistalPhalanxTW_window_slice_aug,0.6474820143884892,0.6546762589928058,0.6546762589928058,0.6690647482014388,0.6690647482014388,0.6589928057553955
DistalPhalanxTW_window_warp_aug,0.6906474820143885,0.6690647482014388,0.6906474820143885,0.6690647482014388,0.6546762589928058,0.6748201438848921
DistalPhalanxTW_time_warp_aug,0.6402877697841727,0.6906474820143885,0.6906474820143885,0.6762589928057554,0.6618705035971223,0.6719424460431654
DistalPhalanxTW_rotation_aug,0.6690647482014388,0.6546762589928058,0.6834532374100719,0.6474820143884892,0.6402877697841727,0.6589928057553956
DistalPhalanxTW_magnitude_warp_aug,0.6762589928057554,0.7122302158273381,0.6762589928057554,0.6906474820143885,0.6834532374100719,0.6877697841726619
DistalPhalanxTW_spawner_aug,0.7122302158273381,0.6906474820143885,0.6834532374100719,0.6762589928057554,0.6906474820143885,0.6906474820143886
DistalPhalanxTW_wdba_aug,0.6906474820143885,0.697841726618705,0.6618705035971223,0.6906474820143885,0.6762589928057554,0.6834532374100719
Herring_jitter_aug,0.546875,0.578125,0.5625,0.515625,0.578125,0.55625
Herring_scaling_aug,0.59375,0.671875,0.6875,0.609375,0.640625,0.640625
Herring_window_slice_aug,0.625,0.65625,0.65625,0.546875,0.625,0.621875
Herring_window_warp_aug,0.65625,0.578125,0.625,0.578125,0.578125,0.603125
Herring_time_warp_aug,0.578125,0.546875,0.578125,0.59375,0.53125,0.565625
Herring_rotation_aug,0.609375,0.65625,0.609375,0.609375,0.59375,0.615625
Herring_magnitude_warp_aug,0.59375,0.609375,0.578125,0.59375,0.625,0.6
Herring_spawner_aug,0.5625,0.59375,0.59375,0.578125,0.59375,0.584375
Herring_wdba_aug,0.625,0.578125,0.578125,0.609375,0.625,0.603125
ProximalPhalanxTW_jitter_aug,0.7804878048780488,0.7902439024390244,0.7658536585365854,0.7804878048780488,0.775609756097561,0.7785365853658537
ProximalPhalanxTW_scaling_aug,0.7707317073170732,0.775609756097561,0.7804878048780488,0.7707317073170732,0.775609756097561,0.7746341463414634
ProximalPhalanxTW_window_slice_aug,0.7707317073170732,0.7658536585365854,0.775609756097561,0.775609756097561,0.7560975609756098,0.7687804878048781
ProximalPhalanxTW_window_warp_aug,0.775609756097561,0.7560975609756098,0.7853658536585366,0.7658536585365854,0.7609756097560976,0.7687804878048781
ProximalPhalanxTW_time_warp_aug,0.7804878048780488,0.7804878048780488,0.7853658536585366,0.7804878048780488,0.7951219512195122,0.784390243902439
ProximalPhalanxTW_rotation_aug,0.775609756097561,0.7658536585365854,0.7804878048780488,0.8,0.7609756097560976,0.7765853658536586
ProximalPhalanxTW_magnitude_warp_aug,0.7804878048780488,0.751219512195122,0.7609756097560976,0.7560975609756098,0.7902439024390244,0.7678048780487805
ProximalPhalanxTW_spawner_aug,0.7804878048780488,0.775609756097561,0.7902439024390244,0.7804878048780488,0.7609756097560976,0.7775609756097561
ProximalPhalanxTW_wdba_aug,0.7853658536585366,0.7902439024390244,0.7804878048780488,0.7804878048780488,0.7707317073170732,0.7814634146341464
