,acc1,acc2,acc3,acc4,acc5,mean_acc
ECG200_jitter,0.91,0.91,0.9,0.91,0.91,0.908
ECG200_scaling,0.89,0.92,0.9,0.89,0.92,0.9040000000000001
ECG200_window_slice,0.89,0.89,0.91,0.89,0.9,0.8960000000000001
ECG200_window_warp,0.88,0.88,0.89,0.87,0.88,0.8800000000000001
ECG200_time_warp,0.81,0.81,0.8,0.8,0.79,0.8019999999999999
ECG200_rotation,0.84,0.86,0.86,0.87,0.85,0.8560000000000001
ECG200_magnitude_warp,0.87,0.87,0.88,0.88,0.87,0.874
ECG200_spawner,0.83,0.81,0.84,0.81,0.81,0.82
ECG200_wdba,0.79,0.77,0.81,0.74,0.74,0.7700000000000001
BirdChicken_jitter,0.85,0.85,0.85,0.85,0.8,0.8400000000000001
BirdChicken_scaling,0.9,0.9,0.9,0.9,0.9,0.9
BirdChicken_window_slice,0.8,0.8,0.8,0.75,0.8,0.79
BirdChicken_window_warp,0.85,0.75,0.9,0.85,0.85,0.8400000000000001
BirdChicken_time_warp,0.75,0.65,0.75,0.55,0.55,0.65
BirdChicken_rotation,0.8,0.65,0.7,0.7,0.75,0.7200000000000001
BirdChicken_magnitude_warp,0.9,0.9,0.9,0.9,0.8,0.8800000000000001
BirdChicken_spawner,0.8,0.75,0.75,0.7,0.7,0.74
BirdChicken_wdba,0.9,0.9,0.8,0.8,0.75,0.8300000000000001
ItalyPowerDemand_jitter,0.9436345966958212,0.9514091350826045,0.9504373177842566,0.9484936831875608,0.9426627793974732,0.9473275024295432
ItalyPowerDemand_scaling,0.956268221574344,0.9494655004859086,0.9484936831875608,0.9494655004859086,0.9484936831875608,0.9504373177842567
ItalyPowerDemand_window_slice,0.9504373177842566,0.9484936831875608,0.9504373177842566,0.9494655004859086,0.9514091350826045,0.9500485908649174
ItalyPowerDemand_window_warp,0.9368318756073858,0.9378036929057337,0.9358600583090378,0.9300291545189504,0.9378036929057337,0.9356656948493682
ItalyPowerDemand_time_warp,0.8231292517006803,0.7862001943634597,0.8386783284742468,0.8338192419825073,0.7959183673469388,0.8155490767735666
ItalyPowerDemand_rotation,0.8950437317784257,0.9086491739552964,0.9154518950437318,0.9465500485908649,0.9067055393586005,0.9144800777453839
ItalyPowerDemand_magnitude_warp,0.9484936831875608,0.9446064139941691,0.9533527696793003,0.9582118561710399,0.9552964042759962,0.9519922254616132
ItalyPowerDemand_spawner,0.827016520894072,0.8367346938775511,0.815354713313897,0.8309037900874635,0.8367346938775511,0.829348882410107
ItalyPowerDemand_wdba,0.8707482993197279,0.8765792031098154,0.8765792031098154,0.8785228377065112,0.8765792031098154,0.875801749271137
MelbournePedestrian_jitter,0.8622386223862238,0.8413284132841329,0.8331283312833129,0.8548585485854858,0.8446084460844608,0.8472324723247233
MelbournePedestrian_scaling,0.8359983599835998,0.8954489544895449,0.8860188601886019,0.7732677326773267,0.8700287002870029,0.8521525215252153
MelbournePedestrian_window_slice,0.8421484214842149,0.7601476014760148,0.8601886018860189,0.8204182041820418,0.8458384583845838,0.825748257482575
MelbournePedestrian_window_warp,0.8839688396883969,0.8983189831898319,0.9212792127921279,0.8876588765887659,0.8892988929889298,0.8961049610496106
MelbournePedestrian_time_warp,0.7597375973759738,0.8130381303813038,0.6863468634686347,0.7552275522755227,0.7552275522755227,0.7539155391553916
MelbournePedestrian_rotation,0.9171791717917179,0.9175891758917589,0.923329233292333,0.9257892578925789,0.9278392783927839,0.9223452234522345
MelbournePedestrian_magnitude_warp,0.932349323493235,0.9298892988929889,0.9106191061910619,0.8843788437884379,0.9425994259942599,0.9199671996719967
MelbournePedestrian_spawner,0.8733087330873309,0.8511685116851169,0.906109061090611,0.8651086510865109,0.9032390323903239,0.8797867978679786
MelbournePedestrian_wdba,0.8540385403854038,0.8683886838868389,0.8282082820828208,0.8503485034850349,0.8737187371873719,0.8549405494054941
FaceFour_jitter,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.9545454545454546,0.9431818181818182,0.9454545454545455
FaceFour_scaling,0.9431818181818182,0.9431818181818182,0.9318181818181818,0.9545454545454546,0.9659090909090909,0.9477272727272729
FaceFour_window_slice,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.9545454545454546,0.9636363636363636
FaceFour_window_warp,0.9318181818181818,0.9431818181818182,0.9659090909090909,0.9545454545454546,0.9545454545454546,0.95
FaceFour_time_warp,0.75,0.6931818181818182,0.5681818181818182,0.6704545454545454,0.5681818181818182,0.6500000000000001
FaceFour_rotation,0.9090909090909091,0.8863636363636364,0.8181818181818182,0.875,0.8977272727272727,0.8772727272727273
FaceFour_magnitude_warp,0.9431818181818182,0.9545454545454546,0.9204545454545454,0.9659090909090909,0.9431818181818182,0.9454545454545455
FaceFour_spawner,0.875,0.9090909090909091,0.875,0.9090909090909091,0.8636363636363636,0.8863636363636364
FaceFour_wdba,0.8636363636363636,0.875,0.8409090909090909,0.8409090909090909,0.875,0.859090909090909
SonyAIBORobotSurface1_jitter,0.9767054908485857,0.9900166389351082,0.9883527454242929,0.9916805324459235,0.9866888519134775,0.9866888519134775
SonyAIBORobotSurface1_scaling,0.961730449251248,0.9633943427620633,0.9650582362728786,0.9816971713810316,0.9700499168053245,0.9683860232945092
SonyAIBORobotSurface1_window_slice,0.9284525790349417,0.9351081530782029,0.9267886855241264,0.9317803660565723,0.9367720465890182,0.9317803660565722
SonyAIBORobotSurface1_window_warp,0.9550748752079867,0.9633943427620633,0.9484193011647255,0.9367720465890182,0.9550748752079867,0.9517470881863561
SonyAIBORobotSurface1_time_warp,0.8019966722129783,0.8202995008319468,0.7936772046589018,0.8785357737104825,0.8469217970049917,0.8282861896838603
SonyAIBORobotSurface1_rotation,0.9833610648918469,0.9816971713810316,0.9866888519134775,0.9484193011647255,0.9700499168053245,0.9740432612312813
SonyAIBORobotSurface1_magnitude_warp,0.9733777038269551,0.978369384359401,0.9767054908485857,0.9833610648918469,0.978369384359401,0.9780366056572379
SonyAIBORobotSurface1_spawner,0.6655574043261231,0.6938435940099834,0.6988352745424293,0.6921797004991681,0.670549084858569,0.6841930116472545
SonyAIBORobotSurface1_wdba,0.9700499168053245,0.9600665557404326,0.9517470881863561,0.9484193011647255,0.9217970049916805,0.9504159733777039
MiddlePhalanxOutlineAgeGroup_jitter,0.538961038961039,0.5584415584415584,0.5454545454545454,0.5584415584415584,0.5454545454545454,0.5493506493506494
MiddlePhalanxOutlineAgeGroup_scaling,0.525974025974026,0.5064935064935064,0.525974025974026,0.538961038961039,0.5064935064935064,0.5207792207792208
MiddlePhalanxOutlineAgeGroup_window_slice,0.43506493506493504,0.38311688311688313,0.38961038961038963,0.36363636363636365,0.4090909090909091,0.3961038961038962
MiddlePhalanxOutlineAgeGroup_window_warp,0.4805194805194805,0.5064935064935064,0.43506493506493504,0.5324675324675324,0.4025974025974026,0.47142857142857136
MiddlePhalanxOutlineAgeGroup_time_warp,0.6363636363636364,0.6363636363636364,0.6428571428571429,0.6298701298701299,0.5714285714285714,0.6233766233766234
MiddlePhalanxOutlineAgeGroup_rotation,0.551948051948052,0.5324675324675324,0.525974025974026,0.5194805194805194,0.525974025974026,0.5311688311688311
MiddlePhalanxOutlineAgeGroup_magnitude_warp,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.4805194805194805,0.525974025974026,0.5051948051948052
MiddlePhalanxOutlineAgeGroup_spawner,0.474025974025974,0.461038961038961,0.461038961038961,0.474025974025974,0.512987012987013,0.4766233766233766
MiddlePhalanxOutlineAgeGroup_wdba,0.5909090909090909,0.5974025974025974,0.5909090909090909,0.6103896103896104,0.6038961038961039,0.5987012987012987
MiddlePhalanxTW_jitter,0.5454545454545454,0.525974025974026,0.5194805194805194,0.512987012987013,0.551948051948052,0.5311688311688312
MiddlePhalanxTW_scaling,0.525974025974026,0.512987012987013,0.5324675324675324,0.512987012987013,0.5194805194805194,0.5207792207792208
MiddlePhalanxTW_window_slice,0.45454545454545453,0.474025974025974,0.35714285714285715,0.44805194805194803,0.37662337662337664,0.4220779220779221
MiddlePhalanxTW_window_warp,0.5194805194805194,0.512987012987013,0.461038961038961,0.5,0.4675324675324675,0.4922077922077922
MiddlePhalanxTW_time_warp,0.538961038961039,0.5,0.5064935064935064,0.5,0.512987012987013,0.5116883116883117
MiddlePhalanxTW_rotation,0.5584415584415584,0.5,0.5194805194805194,0.538961038961039,0.5454545454545454,0.5324675324675325
MiddlePhalanxTW_magnitude_warp,0.538961038961039,0.512987012987013,0.525974025974026,0.5064935064935064,0.525974025974026,0.5220779220779221
MiddlePhalanxTW_spawner,0.45454545454545453,0.461038961038961,0.461038961038961,0.45454545454545453,0.474025974025974,0.461038961038961
MiddlePhalanxTW_wdba,0.44805194805194803,0.4935064935064935,0.474025974025974,0.5,0.4675324675324675,0.4766233766233766
Meat_jitter,0.4,0.3333333333333333,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.45666666666666667
Meat_scaling,0.85,0.9666666666666667,0.9166666666666666,0.9333333333333333,0.95,0.9233333333333335
Meat_window_slice,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.7,1.0,0.71
Meat_window_warp,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9,0.9133333333333334
Meat_time_warp,0.5666666666666667,0.8666666666666667,0.48333333333333334,0.5666666666666667,0.5666666666666667,0.61
Meat_rotation,0.8,0.8833333333333333,0.7666666666666667,0.85,0.85,0.8300000000000001
Meat_magnitude_warp,0.9166666666666666,0.9,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9066666666666668
Meat_spawner,0.8833333333333333,0.95,0.9166666666666666,0.6833333333333333,0.6833333333333333,0.8233333333333335
Meat_wdba,0.9166666666666666,0.8666666666666667,0.9,0.9166666666666666,0.95,0.9099999999999999
ToeSegmentation2_jitter,0.9538461538461539,0.9615384615384616,0.9615384615384616,0.9769230769230769,0.9615384615384616,0.963076923076923
ToeSegmentation2_scaling,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9692307692307692,0.963076923076923
ToeSegmentation2_window_slice,0.9461538461538461,0.9615384615384616,0.9307692307692308,0.9153846153846154,0.9615384615384616,0.9430769230769229
ToeSegmentation2_window_warp,0.9307692307692308,0.9230769230769231,0.9692307692307692,0.9461538461538461,0.9384615384615385,0.9415384615384615
ToeSegmentation2_time_warp,0.9384615384615385,0.9307692307692308,0.9307692307692308,0.9615384615384616,0.9307692307692308,0.9384615384615385
ToeSegmentation2_rotation,0.8692307692307693,0.823076923076923,0.8769230769230769,0.8846153846153846,0.8769230769230769,0.866153846153846
ToeSegmentation2_magnitude_warp,0.9384615384615385,0.9,0.9384615384615385,0.9615384615384616,0.9384615384615385,0.9353846153846155
ToeSegmentation2_spawner,0.7769230769230769,0.7846153846153846,0.8,0.7923076923076923,0.7230769230769231,0.7753846153846153
ToeSegmentation2_wdba,0.9615384615384616,0.9615384615384616,0.9692307692307692,0.9615384615384616,0.9692307692307692,0.9646153846153845
