,acc1,acc2,acc3,acc4,acc5,mean_acc
Chinatown_jitter,0.9795918367346939,0.9795918367346939,0.9766763848396501,0.9737609329446064,0.9795918367346939,0.9778425655976676
Chinatown_scaling,0.9795918367346939,0.9766763848396501,0.9825072886297376,0.9737609329446064,0.9766763848396501,0.9778425655976676
Chinatown_window_slice,0.9795918367346939,0.9591836734693877,0.9620991253644315,0.9795918367346939,0.9504373177842566,0.9661807580174928
Chinatown_window_warp,0.9825072886297376,0.9825072886297376,0.9854227405247813,0.9854227405247813,0.9825072886297376,0.9836734693877551
Chinatown_time_warp,0.9795918367346939,0.9825072886297376,0.9795918367346939,0.9825072886297376,0.9825072886297376,0.98134110787172
Chinatown_rotation,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9825072886297376,0.9766763848396501,0.9795918367346937
Chinatown_magnitude_warp,0.9854227405247813,0.9825072886297376,0.9854227405247813,0.9766763848396501,0.9912536443148688,0.9842565597667638
Chinatown_spawner,0.9795918367346939,0.9737609329446064,0.9708454810495627,0.9708454810495627,0.9708454810495627,0.9731778425655977
Chinatown_wdba,0.9620991253644315,0.9650145772594753,0.956268221574344,0.9737609329446064,0.967930029154519,0.9650145772594753
SmoothSubspace_jitter,0.98,0.9933333333333333,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667
SmoothSubspace_scaling,0.9733333333333334,0.9666666666666667,0.9733333333333334,0.9666666666666667,0.9666666666666667,0.9693333333333334
SmoothSubspace_window_slice,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.98,0.9866666666666667,0.9853333333333334
SmoothSubspace_window_warp,0.9733333333333334,0.96,0.98,0.96,0.96,0.9666666666666666
SmoothSubspace_time_warp,0.8466666666666667,0.86,0.8733333333333333,0.8933333333333333,0.8666666666666667,0.868
SmoothSubspace_rotation,0.9533333333333334,0.9666666666666667,0.9733333333333334,0.9733333333333334,0.9533333333333334,0.9640000000000001
SmoothSubspace_magnitude_warp,0.9666666666666667,0.9666666666666667,0.9733333333333334,0.98,0.96,0.9693333333333334
SmoothSubspace_spawner,0.98,0.9666666666666667,0.98,0.98,0.9733333333333334,0.976
SmoothSubspace_wdba,0.96,0.96,0.9666666666666667,0.96,0.9466666666666667,0.9586666666666666
DodgerLoopGame_jitter,0.8913043478260869,0.8985507246376812,0.8985507246376812,0.9202898550724637,0.8768115942028986,0.8971014492753623
DodgerLoopGame_scaling,0.8913043478260869,0.9057971014492754,0.8913043478260869,0.9057971014492754,0.8913043478260869,0.8971014492753623
DodgerLoopGame_window_slice,0.8333333333333334,0.6956521739130435,0.7898550724637681,0.7463768115942029,0.8115942028985508,0.7753623188405797
DodgerLoopGame_window_warp,0.8768115942028986,0.8768115942028986,0.8260869565217391,0.8768115942028986,0.8985507246376812,0.8710144927536231
DodgerLoopGame_time_warp,0.855072463768116,0.855072463768116,0.8043478260869565,0.8768115942028986,0.6376811594202898,0.8057971014492754
DodgerLoopGame_rotation,0.7898550724637681,0.7753623188405797,0.7753623188405797,0.7681159420289855,0.7028985507246377,0.7623188405797101
DodgerLoopGame_magnitude_warp,0.8840579710144928,0.9130434782608695,0.8913043478260869,0.9202898550724637,0.8913043478260869,0.9
DodgerLoopGame_spawner,0.8188405797101449,0.782608695652174,0.6956521739130435,0.8913043478260869,0.8623188405797102,0.8101449275362318
DodgerLoopGame_wdba,0.8043478260869565,0.7971014492753623,0.7101449275362319,0.7463768115942029,0.7391304347826086,0.7594202898550725
DodgerLoopWeekend_jitter,0.9855072463768116,0.9710144927536232,0.9782608695652174,0.9637681159420289,0.9710144927536232,0.9739130434782609
DodgerLoopWeekend_scaling,0.9782608695652174,0.9637681159420289,0.9782608695652174,0.9637681159420289,0.9855072463768116,0.9739130434782609
DodgerLoopWeekend_window_slice,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536233
