,acc1,acc2,acc3,acc4,acc5,mean_acc
MelbournePedestrian_jitter,0.9282492824928249,0.9384993849938499,0.8536285362853628,0.906519065190652,0.8851988519885199,0.9024190241902419
MelbournePedestrian_scaling,0.924149241492415,0.9134891348913489,0.922919229192292,0.9261992619926199,0.8454284542845428,0.9064370643706438
MelbournePedestrian_window_slice,0.8581385813858139,0.8249282492824929,0.8212382123821238,0.8466584665846658,0.8482984829848298,0.8398523985239852
MelbournePedestrian_window_warp,0.8655186551865519,0.8868388683886839,0.8757687576875769,0.8884788847888478,0.8548585485854858,0.8742927429274292
MelbournePedestrian_time_warp,0.8159081590815909,0.7962279622796228,0.7970479704797048,0.8056580565805658,0.8122181221812218,0.8054120541205412
MelbournePedestrian_rotation,0.923329233292333,0.922509225092251,0.9220992209922099,0.9188191881918819,0.924149241492415,0.9221812218122182
MelbournePedestrian_magnitude_warp,0.8646986469864698,0.8601886018860189,0.8815088150881509,0.8884788847888478,0.8368183681836818,0.8663386633866338
MelbournePedestrian_spawner,0.8737187371873719,0.9015990159901599,0.8962689626896269,0.8700287002870029,0.8540385403854038,0.879130791307913
MelbournePedestrian_wdba,0.8396883968839688,0.8273882738827388,0.6961869618696187,0.7908979089790897,0.8364083640836408,0.7981139811398114
FaceFour_jitter,0.9545454545454546,0.9545454545454546,0.9659090909090909,0.9431818181818182,0.9659090909090909,0.9568181818181818
FaceFour_scaling,0.9659090909090909,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9568181818181818
FaceFour_window_slice,0.9545454545454546,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.9545454545454546,0.9613636363636363
FaceFour_window_warp,0.875,0.8863636363636364,0.8977272727272727,0.8977272727272727,0.8295454545454546,0.8772727272727273
FaceFour_time_warp,0.6136363636363636,0.6363636363636364,0.5681818181818182,0.6477272727272727,0.6477272727272727,0.6227272727272727
FaceFour_rotation,0.9318181818181818,0.8863636363636364,0.9204545454545454,0.8977272727272727,0.9204545454545454,0.9113636363636364
FaceFour_magnitude_warp,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454547
FaceFour_spawner,0.8977272727272727,0.8863636363636364,0.9431818181818182,0.9090909090909091,0.8409090909090909,0.8954545454545455
FaceFour_wdba,0.8636363636363636,0.8863636363636364,0.875,0.8863636363636364,0.8409090909090909,0.8704545454545455
SonyAIBORobotSurface1_jitter,0.9750415973377704,0.9700499168053245,0.9900166389351082,0.9850249584026622,0.9833610648918469,0.9806988352745425
SonyAIBORobotSurface1_scaling,0.9733777038269551,0.9833610648918469,0.9916805324459235,0.9800332778702163,0.9850249584026622,0.9826955074875208
SonyAIBORobotSurface1_window_slice,0.9467554076539102,0.9450915141430949,0.9450915141430949,0.940099833610649,0.9517470881863561,0.9457570715474211
SonyAIBORobotSurface1_window_warp,0.9816971713810316,0.9816971713810316,0.9816971713810316,0.9850249584026622,0.9866888519134775,0.9833610648918469
SonyAIBORobotSurface1_time_warp,0.9034941763727121,0.8469217970049917,0.7953410981697171,0.8752079866888519,0.8585690515806988,0.8559068219633943
SonyAIBORobotSurface1_rotation,0.9184692179700499,0.9633943427620633,0.8851913477537438,0.8768718801996672,0.9351081530782029,0.9158069883527455
