,acc1,acc2,acc3,acc4,acc5,mean_acc
GestureMidAirD2_jitter,0.6307692307692307,0.6538461538461539,0.6230769230769231,0.6153846153846154,0.6076923076923076,0.6261538461538462
GestureMidAirD2_scaling,0.676923076923077,0.6461538461538462,0.6538461538461539,0.6692307692307692,0.6384615384615384,0.6569230769230769
GestureMidAirD2_window_slice,0.5230769230769231,0.5461538461538461,0.5,0.5153846153846153,0.5076923076923077,0.5184615384615384
GestureMidAirD2_window_warp,0.6,0.5692307692307692,0.5846153846153846,0.6230769230769231,0.6153846153846154,0.5984615384615385
GestureMidAirD2_time_warp,0.43846153846153846,0.43846153846153846,0.43846153846153846,0.4846153846153846,0.46923076923076923,0.45384615384615384
GestureMidAirD2_rotation,0.5307692307692308,0.5461538461538461,0.5384615384615384,0.5307692307692308,0.5384615384615384,0.5369230769230768
GestureMidAirD2_magnitude_warp,0.5692307692307692,0.5692307692307692,0.5153846153846153,0.5769230769230769,0.5769230769230769,0.5615384615384615
GestureMidAirD2_spawner,0.46153846153846156,0.45384615384615384,0.45384615384615384,0.4076923076923077,0.4461538461538462,0.44461538461538463
GestureMidAirD2_wdba,0.4230769230769231,0.4307692307692308,0.43846153846153846,0.4230769230769231,0.4307692307692308,0.4292307692307693
SonyAIBORobotSurface2_jitter,0.9664218258132214,0.9538300104931794,0.9643231899265478,0.9664218258132214,0.9569779643231899,0.9615949632738718
SonyAIBORobotSurface2_scaling,0.9664218258132214,0.950682056663169,0.9422875131164743,0.9527806925498427,0.9517313746065058,0.9527806925498427
SonyAIBORobotSurface2_window_slice,0.8688352570828961,0.8614900314795383,0.85099685204617,0.8614900314795383,0.857292759706191,0.8600209863588667
SonyAIBORobotSurface2_window_warp,0.8950682056663168,0.9223504721930745,0.9055613850996852,0.8866736621196223,0.9202518363064008,0.9059811122770199
SonyAIBORobotSurface2_time_warp,0.7785939139559287,0.7418677859391396,0.7481636935991606,0.7681007345225603,0.7806925498426023,0.7634837355718782
SonyAIBORobotSurface2_rotation,0.9496327387198321,0.9412381951731374,0.9538300104931794,0.9580272822665268,0.9611752360965372,0.9527806925498427
SonyAIBORobotSurface2_magnitude_warp,0.9706190975865687,0.9580272822665268,0.9464847848898216,0.9296956977964324,0.9832109129066107,0.957607555089192
SonyAIBORobotSurface2_spawner,0.9233997901364114,0.9464847848898216,0.9265477439664218,0.906610703043022,0.869884575026233,0.914585519412382
SonyAIBORobotSurface2_wdba,0.8845750262329486,0.8751311647429171,0.8782791185729276,0.8919202518363064,0.8793284365162645,0.8818467995802728
GestureMidAirD1_jitter,0.7384615384615385,0.7153846153846154,0.7538461538461538,0.7076923076923077,0.7538461538461538,0.7338461538461539
GestureMidAirD1_scaling,0.7538461538461538,0.7384615384615385,0.7461538461538462,0.7461538461538462,0.7307692307692307,0.7430769230769231
GestureMidAirD1_window_slice,0.6846153846153846,0.6692307692307692,0.6615384615384615,0.676923076923077,0.6461538461538462,0.6676923076923077
